"DISTRICTE","DATA_ENQ","TMP_RES_BCN_1A6","RES_HAB","PADRO","SEXE","EDAT1574_1A6","NACIO_ACT_UE","NACIO_CANVI","NACIO_ABANS_UE","NACIO_EVO","SITLABORAL_1A9","PROB01_PERS_SOCIAL","PROB02_PERS_SOCIAL","PROB01_PERS_SOCIAL_N1","PROB02_PERS_SOCIAL_N1","IMP_PERS_FAM_1A4","IMP_PERS_AMIC_1A4","IMP_PERS_TEMPS_1A4","IMP_PERS_POLITICA_1A4","IMP_PERS_FEINA_1A4","IMP_PERS_RELIGIO_1A4","IMP_PERS_ECON_1A4","IMP_PERS_ESTUDIAR_1A4","IMP_PERS_DESENV_1A4","SATISF_PERS_1A10","SATISF_PERS_1A4","SATISF_PERS_FAM_1A10","SATISF_PERS_AMIC_1A10","SATISF_PERS_TEMPS_1A10","SATISF_PERS_FEINA_1A10","SATISF_PERS_ECON_1A10","SATISF_PERS_ESTUDIAR_1A10","SATISF_PERS_DESENV_1A10","SATISF_PERS_FAM_1A4","SATISF_PERS_AMIC_1A4","SATISF_PERS_TEMPS_1A4","SATISF_PERS_FEINA_1A4","SATISF_PERS_ECON_1A4","SATISF_PERS_ESTUDIAR_1A4","SATISF_PERS_DESENV_1A4","MOT_ESTUDIAR_1A7","IMP01_FEINA_1A9","IMP02_FEINA_1A9","TE_FILLS_1A2","IMP01_FILLS_INCULCAR_1A10","IMP02_FILLS_INCULCAR_1A10","ACORD_CONCIL_Q01_1A4","ACORD_CONCIL_Q02_1A4","ACORD_CONCIL_Q03_1A4","ACORD_CONCIL_Q04_1A4","ACORD_CONCIL_Q05_1A4","ACORD_SOCIAL_Q06_1A4","QUI_RESPONSAB_DONES_1A10","QUI_RESPONSAB_HOMES_1A10","QUI_RESPONSAB_SVPUB_1A10","QUI_RESPONSAB_SVPRIV_1A10","QUI_RESPONSAB_SVCOM_1A10","QUI_RESPONSAB_DONES_1A4","QUI_RESPONSAB_HOMES_1A4","QUI_RESPONSAB_SVPUB_1A4","QUI_RESPONSAB_SVPRIV_1A4","QUI_RESPONSAB_SVCOM_1A4","IMP01_ESTAT_1A4","IMP02_ESTAT_1A4","PRIO_ESTAT_TIPUS_1A2","PRIO01_ESTAT_VALORS_1A4","PRIO02_ESTAT_VALORS_1A4","ACORD_SOCIETAT_JUSTIFICAR_Q01_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q02_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q03_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q04_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q05_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q06_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q07_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q08_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q09_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q10_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q11_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q12_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q13_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q14_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q15_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q16_1A3","ACORD_SOCIETAT_JUSTIFICAR_Q17_1A3","ACORD_SOCIETAT_CONCEPT_Q01_1A3","ACORD_SOCIETAT_CONCEPT_Q02_1A3","ACORD_SOCIETAT_CONCEPT_Q03_1A3","ACORD_SOCIETAT_CONCEPT_Q04_1A3","ACORD_SOCIETAT_CONCEPT_Q05_1A3","ACORD_SOCIETAT_CONCEPT_Q06_1A3","ACORD_SOCIETAT_CONCEPT_Q07_1A3","ACORD_SOCIETAT_CONCEPT_Q08_1A3","ACORD_SOCIETAT_CONCEPT_Q09_1A3","ACORD_SOCIETAT_CONCEPT_Q10_1A3","ACORD_SOCIETAT_CONCEPT_Q11_1A3","ACORD_SOCIETAT_ES_Q01_1A4","ACORD_SOCIETAT_ES_Q02_1A4","ACORD_SOCIETAT_ES_Q03_1A4","ACORD_SOCIETAT_ES_Q04_1A4","ACORD_SOCIETAT_ES_Q05_1A4","ACORD_SOCIETAT_ES_Q06_1A4","ACORD_SOCIETAT_ES_Q07_1A4","ACORD_SOCIETAT_ES_Q08_1A4","ACORD_SOCIETAT_ES_Q09_1A4","ACORD_SOCIETAT_ES_Q10_1A4","ACORD_SOCIETAT_ES_Q11_1A4","ACORD_SOCIETAT_ES_Q12_1A4","ACORD_SOCIETAT_ES_Q13_1A4","CONFIA_GENT_1A2","CONFIA_GRUP_Q01_1A4","CONFIA_GRUP_Q02_1A4","CONFIA_GRUP_Q03_1A4","CONFIA_GRUP_Q04_1A4","CONFIA_GRUP_Q05_1A4","CONFIA_GRUP_Q06_1A4","PRIO_ESTAT_POLITICA_MEDIAMB_1A2","ACORD_CANVICLIM_PROB_1A2","PRIO_CANVICLIM_1A4","ACORD_CIENCIA_Q01_1A10","ACORD_CIENCIA_Q02_1A10","ACORD_CIENCIA_Q03_1A10","ACORD_CIENCIA_Q01_1A4","ACORD_CIENCIA_Q02_1A4","ACORD_CIENCIA_Q03_1A4","IMPACTE_IMMIG_PAIS_1A10","IMPACTE_IMMIG_PAIS_1A4","ACORD_IMMIG_Q01_1A10","ACORD_IMMIG_Q02_1A10","ACORD_IMMIG_Q03_1A10","ACORD_IMMIG_Q04_1A10","ACORD_IMMIG_Q01_1A2","ACORD_IMMIG_Q02_1A2","ACORD_IMMIG_Q03_1A2","ACORD_IMMIG_Q04_1A2","ACORD_COSTUMS_PAIS_1A2","ACORD_COSTUMS_BARRI_1A2","SOCI_Q01_1A11","SOCI_Q02_1A11","SOCI_Q03_1A11","SOCI_Q04_1A11","SOCI_Q05_1A11","SOCI_Q06_1A11","SOCI_Q07_1A11","SOCI_Q08_1A11","SOCI_Q09_1A11","CONFIA_INSTITUCIO_Q01_1A4","CONFIA_INSTITUCIO_Q02_1A4","CONFIA_INSTITUCIO_Q03_1A4","CONFIA_INSTITUCIO_Q04_1A4","CONFIA_INSTITUCIO_Q05_1A4","CONFIA_INSTITUCIO_Q06_1A4","CONFIA_INSTITUCIO_Q07_1A4","CONFIA_INSTITUCIO_Q08_1A4","CONFIA_INSTITUCIO_Q09_1A4","CONFIA_INSTITUCIO_Q10_1A4","CONFIA_INSTITUCIO_Q11_1A4","CONFIA_INSTITUCIO_Q12_1A4","CONFIA_INSTITUCIO_Q13_1A4","CONFIA_INSTITUCIO_Q14_1A4","CONFIA_INSTITUCIO_Q15_1A4","CONFIA_INSTITUCIO_Q16_1A4","CONFIA_INSTITUCIO_Q17_1A4","CONFIA_INSTITUCIO_Q18_1A4","CONFIA_INSTITUCIO_Q19_1A4","INTERES_POLITICA_1A4","INTERES_POLITICA_1A2","ACORD_DEMOCRACIA_1A3","US_ACCIOPOLITICA_Q01_1A3","US_ACCIOPOLITICA_Q02_1A3","US_ACCIOPOLITICA_Q03_1A3","US_ACCIOPOLITICA_Q04_1A3","US_ACCIOPOLITICA_Q05_1A3","IDEO_1A8","IDEO_PARE_1A8","IDEO_MARE_1A8","SENTPERTI_1A5","SENTPERTI_PARE_1A5","SENTPERTI_MARE_1A5","SENTPERTI_BARRI_1A4","SENTPERTI_BCN_1A4","SENTPERTI_CAT_1A4","SENTPERTI_ESP_1A4","SENTPERTI_EU_1A4","SENTPERTI_MON_1A4","SENTPERTI_BARRI_1A2","SENTPERTI_BCN_1A2","SENTPERTI_CAT_1A2","SENTPERTI_ESP_1A2","SENTPERTI_EU_1A2","SENTPERTI_MON_1A2","IDEO_PARTIT","FREQ_CONSULTA_PREMSA_1A5","CONSULTA_DIARI_Q01","CONSULTA_DIARI_Q01_N1","RELIGIO","PRIO_SITEMERG_Q01_1A2","PRIO_SITEMERG_Q02_1A2","PRIO_SITEMERG_Q03_1A2","ACORD_SITEMERG_PASSCV_ACCES_Q01_1A3","ACORD_SITEMERG_PASSCV_ACCES_Q02_1A3","ACORD_SITEMERG_PASSCV_ACCES_Q03_1A3","ACORD_SITEMERG_PASSCV_ACCES_Q04_1A3","ACORD_SITEMERG_PASSCV_ACCES_Q05_1A3","HAB_RES_1A4","SITPERSONAL_1A4","LLOC_NAIX_1A4","PAIS_EST_NAIX_UE","LLOC_NAIX_MARE_1A4","PAIS_EST_NAIX_MARE_UE","LLOC_NAIX_PARE_1A4","PAIS_EST_NAIX_PARE_UE","LLENGUA_HAB_1A2","ESTUDIS_1A6","PROF_ACT_A","PROF_ACT_B","PROF_ACT","PROF_ABANS_A","PROF_ABANS_B","PROF_ABANS_C","PROF_ABANS","RESUM_PARENTIU","PMI_SOL_1A2","PMI_1A2","NOENT_ESTUDIS_1A6","NOENT_SITLABORAL_1A9","NOENT_PROF_ACT_A","NOENT_PROF_ACT_B","NOENT_PROF_ACT","NOENT_PROF_ABANS_A","NOENT_PROF_ABANS_B","NOENT_PROF_ABANS_C","NOENT_PROF_ABANS","PMI_ESTUDIS_1A6","PMI_SITLABORAL_1A9","PMI_PROF_ACT_A","PMI_PROF_ACT_B","PMI_PROF_ACT","PMI_PROF_ABANS_A","PMI_PROF_ABANS_B","PMI_PROF_ABANS_C","PMI_PROF_ABANS","PMI_PROF","CLASSESOC_ENT_1A5","NIVELLSOCIO_LLAR","TIPO_ENTLLAR","EIX_PRO_CON","PES"
7,2021-12-22,5,1,1,1,6,1,1,,1,5,2517,9995,25,95,1,1,1,2,1,4,2,1,1,8,3,10,10,8,8,8,10,10,4,4,3,3,3,4,4,1,3,5,2,3,7,4,1,4,4,2,3,8,8,10,5,8,3,3,4,2,3,2,1,1,2,1,3,3,3,2,3,3,3,2,3,3,1,2,1,3,3,3,3,2,3,1,1,1,1,1,1,1,2,2,3,2,1,2,2,1,3,2,3,1,2,1,3,1,1,1,1,2,2,2,1,1,1,4,4,8,1,1,3,7,3,1,1,4,4,1,1,2,2,2,2,3,6,8,,,,,,,4,4,1,4,4,3,3,4,3,2,3,3,4,2,3,3,3,3,3,2,1,1,2,2,1,2,1,1,4,2,3,1,3,2,3,2,2,2,1,1,2,1,1,1,1,6,1,111,7,7,1,1,2,2,2,1,1,2,1,4,3,,3,,3,,2,5,,,,2,,3,3,1,1,1,,,,,,,,,,5,5,,,,2,,3,3,3,3,2,6,1,1
3,2021-11-29,3,1,2,2,1,3,,,6,3,9997,,97,,2,2,2,3,1,3,2,2,2,10,4,10,10,8,10,5,7,8,4,4,3,4,2,3,3,1,1,7,2,2,7,2,2,4,1,2,3,5,10,6,10,5,2,4,2,4,2,3,4,98,2,1,1,3,3,3,1,3,2,3,3,2,3,3,3,1,3,3,3,1,3,3,3,3,1,1,3,1,1,2,3,2,2,3,2,3,2,3,3,2,2,3,3,2,1,98,1,1,1,1,2,1,2,5,5,10,2,2,4,5,2,1,1,3,3,1,1,2,2,2,2,97,,,,,,,,,3,98,2,3,3,4,3,3,3,2,2,3,2,2,2,3,3,3,3,4,2,3,3,3,3,3,3,8,8,8,95,98,98,4,2,2,2,3,2,2,1,1,1,2,1,97,5,,,2,1,1,98,2,2,1,1,2,4,1,4,3,4,3,4,3,2,3,,5,5,,,,,7,,1,,,,,,,,,,3,3,,5,5,,,,,5,5,2,5,4,1
3,2021-12-13,5,1,1,2,4,3,,,6,3,120,210,1,2,1,3,3,2,1,2,2,2,2,5,2,8,5,2,5,4,1,1,3,2,1,2,1,1,1,3,7,1,1,6,5,2,2,3,3,3,3,7,8,8,7,7,3,3,3,3,3,3,1,1,2,3,98,98,3,3,98,3,2,3,3,3,3,3,3,2,3,3,3,2,1,3,3,2,3,3,1,98,2,2,3,3,2,3,2,2,3,2,3,1,3,3,98,2,2,3,3,4,3,3,2,2,4,98,98,98,99,99,99,6,2,3,2,3,3,2,1,2,2,2,1,4,,,,,,,,,3,3,3,2,4,4,4,4,3,98,3,3,4,3,3,3,3,4,3,2,1,3,1,98,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,98,1,395,3,3,2,1,1,3,3,1,1,3,3,2,4,3,4,3,1,,2,5,,6,6,,,,,3,,1,,,,,,,,,,5,3,,6,6,,,,,6,4,2,5,5,1
2,2021-12-07,5,1,1,1,3,1,1,,1,3,2120,7600,21,76,2,1,1,1,1,4,2,1,2,7,3,8,8,4,7,7,8,7,3,3,1,3,3,3,3,2,3,2,1,7,3,3,1,4,4,3,4,10,10,10,98,1,4,4,4,99,1,4,2,1,1,2,3,2,2,2,3,2,2,2,2,2,1,1,1,3,3,3,3,2,1,1,2,1,1,1,1,1,2,2,98,3,1,3,1,2,3,2,3,1,3,2,3,1,1,98,1,2,3,1,1,1,1,5,5,5,2,2,2,10,4,1,1,4,98,1,1,2,99,2,98,4,95,,,,,,,,4,4,2,3,4,4,3,4,2,3,3,2,4,1,2,3,4,4,3,2,1,1,1,1,1,1,1,2,2,2,98,98,98,1,2,4,3,2,1,1,1,2,2,1,1,4,3,111,7,7,1,1,1,1,1,1,1,1,2,3,3,,3,,3,,2,6,,3,3,,,,,4,,1,,,,,,,,,,6,3,,3,3,,,,,3,3,2,7,1,1
8,2021-11-24,5,1,1,2,6,1,1,,1,5,310,7600,3,76,2,1,2,2,2,3,2,1,2,7,3,8,8,8,8,5,8,7,3,3,3,3,2,3,3,1,4,2,2,1,10,2,2,3,2,2,2,5,5,5,8,5,2,2,2,3,2,4,2,1,1,3,2,3,3,3,2,3,3,3,3,3,2,3,1,3,3,3,3,1,1,2,2,2,1,1,1,1,2,2,3,1,1,3,3,1,4,1,4,1,3,1,2,2,2,2,3,4,4,4,1,1,2,8,8,8,3,3,3,5,2,3,3,3,1,2,2,2,1,2,1,3,,,,,,,,,4,1,1,4,3,4,4,4,4,4,1,4,4,3,3,3,1,3,4,3,2,1,1,3,1,2,2,3,2,3,2,1,1,1,2,2,2,3,3,1,1,1,1,2,2,98,1,101,1,2,2,2,1,1,1,1,1,2,2,1,3,,3,,3,,2,2,,,,1,2,,2,7,,2,2,5,,,,2,,6,6,2,5,,,,2,,6,6,6,4,3,3,4,1
1,2021-11-30,6,1,1,1,5,1,1,,1,3,100,,1,,1,2,2,3,1,3,2,2,1,7,3,10,10,7,8,6,7,8,4,4,3,3,2,3,3,3,2,3,1,10,8,2,3,4,2,4,4,10,10,6,6,6,4,4,2,2,2,1,3,98,3,1,2,2,2,2,2,2,3,3,3,3,2,3,2,2,3,3,3,2,3,3,3,1,1,2,1,98,2,2,2,2,2,2,3,2,3,2,2,3,2,2,3,2,2,3,2,3,2,2,98,1,2,5,7,6,2,3,2,6,2,2,2,3,3,1,1,2,2,2,2,97,,,,,,,,,3,2,1,2,3,3,3,2,2,3,2,2,1,2,2,2,2,2,1,4,2,1,98,3,2,1,2,6,6,6,2,1,1,2,2,2,2,3,3,1,1,1,1,2,2,97,1,101,1,2,1,1,1,1,1,1,1,1,2,2,1,,3,,3,,2,2,,5,5,,,,,2,,1,,,,,,,,,,2,3,,5,5,,,,,5,3,3,2,4,1
5,2021-11-30,5,1,1,1,6,1,1,,1,5,9997,,97,,1,2,2,4,1,2,2,2,3,10,4,10,10,10,10,6,5,5,4,4,4,4,2,2,2,3,3,4,1,1,10,4,3,98,3,2,3,5,5,10,4,8,2,2,4,1,3,1,3,1,2,4,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,2,1,3,2,2,1,1,1,2,2,2,2,2,98,3,2,2,2,2,3,2,2,2,2,2,1,2,1,3,2,2,1,1,1,10,10,8,4,4,3,8,3,2,2,3,2,1,1,2,1,1,1,97,,,,,,,,,2,2,98,2,2,3,3,2,4,2,2,2,4,3,98,2,3,4,98,4,2,3,2,3,3,3,2,8,8,8,3,1,1,2,2,2,2,2,2,1,1,1,1,1,1,97,5,,,1,1,2,1,1,2,2,1,1,2,4,3,,3,,3,,2,2,,,,2,,5,5,4,,2,4,3,,4,4,,,,,4,3,,4,4,,,,,4,4,2,6,4,1
1,2021-11-23,2,1,1,2,4,3,,,6,6,100,2350,1,23,1,1,1,1,1,3,1,1,1,7,3,10,9,9,1,1,9,5,4,4,4,1,1,4,2,3,2,3,1,3,9,1,4,4,4,1,3,10,10,7,5,7,4,4,3,2,3,3,2,2,1,3,3,3,3,3,1,3,3,3,3,3,2,3,2,2,3,3,3,1,2,2,2,3,1,1,1,1,2,2,1,2,1,3,3,3,3,2,2,2,2,3,2,2,2,2,2,3,98,98,1,1,1,7,8,3,3,3,1,5,2,2,2,2,3,1,1,1,2,1,1,97,,,,,,,,,3,3,1,2,2,2,2,2,98,2,2,98,2,1,1,3,2,2,3,2,1,1,2,3,2,2,2,6,2,6,3,98,98,2,2,2,2,2,2,1,1,1,1,1,1,9,5,,,7,1,1,1,1,1,1,1,2,2,2,4,3,4,3,4,3,2,5,,,,2,,4,4,2,,2,5,3,,5,5,,,,,5,3,,5,5,,,,,5,4,2,5,5,1
10,2021-11-29,6,1,1,2,6,1,1,,1,5,3115,110,31,1,1,1,1,2,1,4,2,1,1,8,3,9,9,9,8,6,7,9,4,4,4,3,2,3,4,1,2,3,1,10,3,4,1,4,3,4,4,3,3,8,6,6,1,1,3,2,2,4,2,1,1,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,2,3,2,1,3,1,1,1,1,2,2,3,3,3,2,3,2,2,3,3,2,2,2,3,2,1,2,2,3,3,3,1,1,1,7,8,9,3,3,4,5,2,2,2,3,3,1,1,2,2,2,2,8,3,,,,,,,,4,4,2,4,4,4,4,3,3,2,3,3,3,3,3,3,4,4,3,3,2,1,1,3,1,1,1,2,1,2,4,1,3,2,2,2,4,3,1,1,1,1,2,2,1,2,1,114,7,7,1,1,1,1,1,1,1,1,2,2,1,,3,,3,,1,3,,,,2,,4,4,2,,1,,,,,,,,,,3,5,,,,2,,4,4,4,4,2,6,2,1
8,2021-12-17,6,1,1,2,4,1,1,,1,6,100,,1,,1,1,3,4,1,4,2,1,1,7,3,10,10,10,1,1,10,10,4,4,4,1,1,4,4,3,2,1,1,6,1,1,2,2,3,2,2,5,5,8,10,7,2,2,3,4,3,2,4,1,1,2,3,3,3,3,3,3,3,3,3,3,1,3,1,1,3,3,3,3,3,3,3,1,1,1,3,1,2,2,4,98,1,3,98,2,3,1,3,1,98,1,3,2,1,3,1,4,4,4,2,1,1,6,6,9,2,2,4,4,1,3,98,2,2,2,99,1,1,2,2,9,,,,,,,,,4,3,3,4,4,3,4,3,4,2,2,4,4,4,2,2,3,3,3,4,2,3,3,3,3,3,3,98,2,2,3,3,3,2,1,1,1,3,3,1,1,1,1,2,2,97,5,,,7,1,2,2,1,1,1,1,1,3,2,1,,1,,2,,1,2,,,,2,,6,6,3,,2,4,3,,5,5,,,,,4,3,,5,5,,,,,5,5,2,8,5,1
9,2021-12-01,5,1,1,1,3,1,2,3,3,3,7600,2430,76,24,1,1,1,2,1,3,1,2,1,8,3,10,8,5,8,7,10,7,4,3,2,3,3,4,3,1,2,1,1,8,3,1,2,4,4,1,4,3,7,6,6,5,1,3,2,2,2,4,3,1,3,1,2,2,3,3,2,3,2,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,1,1,3,1,2,2,3,98,1,1,3,2,2,2,3,1,3,2,3,2,1,3,2,3,98,98,2,1,1,9,7,10,4,3,4,10,4,1,1,4,4,1,1,2,2,2,2,8,,,,,,,,,3,4,2,3,4,3,4,98,4,2,2,3,2,3,98,3,3,3,3,4,2,98,1,2,1,1,1,8,98,98,2,95,95,2,2,2,1,3,2,1,1,1,1,2,1,97,3,111,7,7,1,2,2,2,2,2,2,2,3,2,4,3,4,3,4,3,2,5,,3,3,,,,,3,,1,,,,,,,,,,5,3,,3,3,,,,,3,4,2,7,4,1
5,2021-12-16,6,1,1,1,5,1,1,,1,3,100,2120,1,21,1,1,2,1,1,4,2,1,1,8,3,9,9,8,9,6,6,8,4,4,3,4,2,2,3,2,9,3,1,3,6,4,1,4,3,1,4,5,5,5,1,5,2,2,2,1,2,2,,98,98,,2,2,3,2,3,2,3,2,2,3,1,1,1,3,3,3,3,3,1,99,98,1,1,1,1,1,2,2,3,98,2,3,2,2,3,3,2,2,2,1,2,1,1,1,2,2,2,2,1,1,1,7,6,5,3,2,2,7,3,2,2,3,2,1,1,2,1,2,1,3,,,,,,,,,4,4,1,2,3,3,3,4,3,2,2,2,2,2,2,2,2,2,3,2,1,1,1,2,1,1,1,3,3,2,4,5,5,2,1,1,3,1,1,1,1,1,2,1,1,99,1,110,1,7,1,1,1,1,1,1,1,1,2,2,1,,2,,4,2,1,4,,4,4,,,,,2,,2,6,1,3,,1,,,,,6,1,3,,1,,,,,1,3,1,10,2,1
4,2021-11-22,5,1,1,1,4,1,2,3,3,1,110,195,1,1,1,3,2,2,1,1,3,1,1,10,4,10,8,5,10,6,10,8,4,3,2,4,2,4,3,1,7,2,1,10,1,3,4,4,3,3,4,6,6,8,6,5,2,2,3,2,2,2,4,1,3,2,2,2,2,2,2,3,2,3,3,3,3,3,3,2,3,3,3,2,2,2,3,2,1,2,1,2,3,2,3,3,2,3,3,2,3,1,3,2,3,2,3,2,1,2,2,3,3,2,1,1,1,7,6,7,3,2,3,7,3,1,2,1,3,1,1,1,2,2,98,10,,,,,,,,,3,3,2,3,2,3,4,3,3,3,2,4,2,3,2,2,3,3,4,4,2,1,1,3,2,3,1,6,6,6,3,98,98,1,1,1,1,2,1,1,1,1,1,1,1,9,1,101,1,1,1,1,1,1,1,1,1,1,4,2,4,3,4,3,4,3,2,6,3,,1,,,,,3,,1,,,,,,,,,,6,1,3,,1,,,,,1,98,1,10,3,1
5,2021-11-25,6,1,1,1,1,1,1,,1,8,3150,,31,,1,1,2,4,2,4,3,2,1,3,1,7,8,3,98,98,2,4,3,3,1,99,99,1,1,1,3,4,2,1,7,2,3,4,3,3,4,5,5,98,98,1,2,2,99,99,1,4,1,1,2,1,3,3,3,3,2,2,3,2,2,3,1,2,98,3,3,3,3,98,1,98,3,1,1,1,1,98,98,2,3,3,2,3,3,1,3,2,2,1,98,2,98,2,1,3,2,3,98,98,1,1,1,7,8,5,3,3,2,5,2,2,98,3,2,1,99,2,1,2,2,97,,,,,,,,,98,1,1,2,2,98,98,2,98,1,1,1,1,1,1,98,2,3,3,4,2,1,98,98,2,2,2,98,98,98,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,97,5,,,2,1,1,2,1,1,1,1,1,3,1,1,,1,,1,,1,2,,,,,,,,4,,2,6,3,,6,6,,,,,6,3,,6,6,,,,,6,3,2,7,2,1
3,2021-11-26,6,1,1,1,5,1,1,,1,7,2030,2552,20,25,2,1,2,4,1,4,1,1,98,10,4,7,10,10,98,4,7,98,3,4,4,99,1,3,99,1,3,8,1,8,1,1,3,3,2,3,3,10,10,8,7,10,4,4,3,3,4,4,1,2,3,2,3,3,98,3,3,3,3,3,3,3,2,3,1,2,3,3,2,2,98,98,2,3,98,1,1,98,2,2,3,98,98,2,98,1,3,2,2,1,98,1,3,1,1,1,2,3,98,3,1,1,1,8,8,10,3,3,4,8,3,4,4,1,1,2,2,1,1,1,1,97,,,,,,,,,4,2,2,2,4,2,4,98,4,98,1,3,2,2,98,98,98,3,2,4,2,3,2,3,3,3,3,98,97,97,3,97,97,1,1,1,1,4,2,1,1,1,1,2,1,97,5,,,7,1,2,2,2,2,1,1,1,1,4,1,,97,,97,,2,1,,,,2,,6,6,1,1,1,,,,,,,,,,1,7,,,,2,,6,6,6,98,3,2,5,1
8,2021-12-17,5,1,1,1,6,1,1,,1,5,2200,,22,,1,3,1,2,1,3,2,2,1,9,4,7,5,10,9,7,7,8,3,2,4,4,3,3,3,4,9,4,1,7,2,3,2,1,3,2,3,8,8,7,6,7,3,3,3,2,3,1,4,1,2,3,3,3,3,3,2,3,3,3,3,3,2,3,2,2,3,3,3,2,1,2,2,1,1,1,1,2,2,2,2,1,2,3,1,2,2,3,3,2,1,2,2,2,2,2,2,3,3,3,2,1,2,5,5,5,2,2,2,7,3,2,2,2,1,1,1,1,1,2,2,97,,,,,,,,,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,1,3,98,3,3,98,2,2,2,3,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,101,1,2,1,1,1,1,1,1,1,1,1,3,3,,3,,3,,2,2,,,,2,,5,5,1,1,1,,,,,,,,,,2,5,,,,2,,5,5,5,3,3,1,5,1
1,2021-12-20,3,1,1,1,3,1,1,,1,3,502,2551,5,25,1,1,2,2,1,3,2,1,1,7,3,9,8,6,7,7,10,7,4,3,2,3,3,4,3,1,2,9,2,1,3,4,1,3,3,98,4,5,5,5,5,5,2,2,2,2,2,4,1,1,1,2,3,3,3,2,2,2,3,98,3,3,1,98,2,3,3,3,3,2,1,3,2,1,1,1,1,1,2,2,3,2,2,2,3,98,3,3,2,1,2,2,2,1,1,2,1,3,3,3,1,1,1,8,9,7,3,4,3,8,3,1,1,4,3,1,1,2,2,2,2,8,,,,,,,,,3,3,2,2,3,4,3,3,3,2,2,2,2,2,2,2,2,2,3,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,97,1,105,1,7,1,1,1,1,1,1,1,1,1,1,3,,3,,3,,2,6,,3,3,,,,,1,1,1,,,,,,,,,,6,3,,3,3,,,,,3,3,2,7,2,1
6,2021-12-15,6,1,1,1,5,1,1,,1,3,500,740,5,7,1,1,1,2,1,4,2,1,1,7,3,10,10,8,8,6,8,8,4,4,3,3,2,3,3,1,5,2,1,3,1,2,2,4,2,4,4,6,5,7,1,8,2,2,3,1,3,4,1,1,1,3,3,3,3,2,1,2,3,2,3,3,1,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,2,1,3,3,2,3,1,2,2,3,2,2,2,2,3,1,1,2,1,2,1,1,1,1,1,6,7,5,2,3,2,7,3,2,1,3,3,1,1,2,2,1,98,2,3,7,,,,,,,4,4,2,3,4,4,3,3,3,2,2,4,2,2,3,3,3,4,4,3,2,1,1,2,1,1,1,1,2,2,5,5,5,1,1,1,4,2,2,1,1,1,2,1,1,3,1,117,7,7,1,2,2,1,1,1,1,3,3,2,1,,1,,1,,1,5,,3,3,,,,,3,,1,,,,,,,,,,5,3,,3,3,,,,,3,3,2,7,2,1
7,2021-12-11,6,1,1,2,1,1,1,,1,8,695,,6,,1,3,2,2,1,2,2,3,1,7,3,7,9,5,98,5,7,10,3,4,2,99,2,3,4,3,1,2,2,5,3,2,2,3,3,98,98,6,6,7,8,5,2,2,3,3,2,4,3,1,1,2,2,3,3,3,2,2,1,1,2,3,2,2,2,3,3,3,3,1,3,2,3,1,1,1,1,3,2,2,1,2,1,3,98,3,2,2,2,1,2,3,2,1,1,1,1,2,2,2,2,1,2,8,6,7,3,2,3,5,2,2,98,2,3,1,99,1,2,2,2,97,,,,,,,,,3,2,1,3,2,3,4,3,3,2,1,3,98,2,3,2,4,4,2,4,2,1,2,98,3,2,2,98,98,98,2,3,2,3,2,2,2,3,3,2,1,1,1,2,2,98,2,105,1,7,1,1,1,2,2,1,1,1,4,1,1,,1,,1,,2,2,,,,,,,,3,,2,5,1,3,,1,,,,,5,1,3,,1,,,,,1,3,1,11,3,1
